,parameters,train accuracy,train ppv,train npv,train sensitivity,train specificity,train fscore
0,naive_500f_100sw_tfidf,0.94,0.976,0.859,0.941,0.939,0.958
1,naive_500f_100sw_count,0.861,0.978,0.678,0.827,0.951,0.896
2,naive_500f_250sw_tfidf,0.942,0.984,0.852,0.936,0.959,0.959
3,naive_500f_250sw_count,0.867,0.978,0.688,0.834,0.951,0.9
4,naive_500f_500sw_tfidf,0.944,0.988,0.848,0.933,0.972,0.96
5,naive_500f_500sw_count,0.879,0.982,0.709,0.848,0.959,0.91
6,naive_1000f_100sw_tfidf,0.955,0.992,0.873,0.945,0.98,0.968
7,naive_1000f_100sw_count,0.923,0.986,0.799,0.906,0.967,0.944
8,naive_1000f_250sw_tfidf,0.956,0.993,0.874,0.945,0.984,0.968
9,naive_1000f_250sw_count,0.921,0.988,0.791,0.902,0.972,0.943
10,naive_1000f_500sw_tfidf,0.955,0.998,0.863,0.939,0.996,0.968
11,naive_1000f_500sw_count,0.922,0.988,0.794,0.903,0.972,0.944
12,naive_1500f_100sw_tfidf,0.96,0.997,0.881,0.948,0.992,0.972
13,naive_1500f_100sw_count,0.941,0.99,0.839,0.928,0.976,0.958
14,naive_1500f_250sw_tfidf,0.96,0.998,0.878,0.947,0.996,0.972
15,naive_1500f_250sw_count,0.941,0.995,0.832,0.923,0.988,0.958
16,naive_1500f_500sw_tfidf,0.96,1.0,0.875,0.945,1.0,0.972
17,naive_1500f_500sw_count,0.941,0.997,0.83,0.922,0.992,0.958
18,extratrees_500f_100sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
19,extratrees_500f_100sw_count,0.973,1.0,0.911,0.963,1.0,0.981
20,extratrees_500f_250sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
21,extratrees_500f_250sw_count,0.973,1.0,0.911,0.963,1.0,0.981
22,extratrees_500f_500sw_tfidf,0.972,1.0,0.908,0.961,1.0,0.98
23,extratrees_500f_500sw_count,0.972,1.0,0.908,0.961,1.0,0.98
24,extratrees_1000f_100sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
25,extratrees_1000f_100sw_count,0.973,1.0,0.911,0.963,1.0,0.981
26,extratrees_1000f_250sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
27,extratrees_1000f_250sw_count,0.973,1.0,0.911,0.963,1.0,0.981
28,extratrees_1000f_500sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
29,extratrees_1000f_500sw_count,0.973,1.0,0.911,0.963,1.0,0.981
30,extratrees_1500f_100sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
31,extratrees_1500f_100sw_count,0.973,1.0,0.911,0.963,1.0,0.981
32,extratrees_1500f_250sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
33,extratrees_1500f_250sw_count,0.973,1.0,0.911,0.963,1.0,0.981
34,extratrees_1500f_500sw_tfidf,0.973,1.0,0.911,0.963,1.0,0.981
35,extratrees_1500f_500sw_count,0.973,1.0,0.911,0.963,1.0,0.981
36,logistic_500f_100sw_tfidf,0.93,0.974,0.833,0.928,0.935,0.95
37,logistic_500f_100sw_count,0.96,1.0,0.875,0.945,1.0,0.972
38,logistic_500f_250sw_tfidf,0.922,0.985,0.798,0.906,0.963,0.944
39,logistic_500f_250sw_count,0.957,1.0,0.866,0.941,1.0,0.97
40,logistic_500f_500sw_tfidf,0.915,0.978,0.79,0.903,0.947,0.939
41,logistic_500f_500sw_count,0.951,1.0,0.851,0.933,1.0,0.965
42,logistic_1000f_100sw_tfidf,0.93,0.972,0.836,0.93,0.931,0.951
43,logistic_1000f_100sw_count,0.967,1.0,0.895,0.955,1.0,0.977
44,logistic_1000f_250sw_tfidf,0.926,0.985,0.806,0.911,0.963,0.947
45,logistic_1000f_250sw_count,0.964,1.0,0.885,0.95,1.0,0.974
46,logistic_1000f_500sw_tfidf,0.923,0.983,0.803,0.909,0.959,0.945
47,logistic_1000f_500sw_count,0.958,1.0,0.869,0.942,1.0,0.97
48,logistic_1500f_100sw_tfidf,0.933,0.977,0.838,0.93,0.943,0.953
49,logistic_1500f_100sw_count,0.97,1.0,0.901,0.958,1.0,0.979
50,logistic_1500f_250sw_tfidf,0.923,0.985,0.801,0.908,0.963,0.945
51,logistic_1500f_250sw_count,0.964,1.0,0.885,0.95,1.0,0.974
52,logistic_1500f_500sw_tfidf,0.921,0.985,0.795,0.905,0.963,0.943
53,logistic_1500f_500sw_count,0.959,1.0,0.872,0.944,1.0,0.971
